server time    : 2020-10-28 16:05:35(1603868735)
delay time     : 1.904
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   251,           ,      8,      4,      2
   252,           ,     14,      6,     -1
   253,           ,     10,      6,     -4
   254,           ,      2,      7,     -2
   255,           ,      3,      7,     -5
   256,           ,      0,      5,    -12
   257,           ,      0,      1,     -7
   258,           ,     -2,     -6,     -7
   259,           ,     -2,      2,     -9
   260,           ,     -8,      3,    -12
   261,           ,     -8,     -2,    -13
   262,           ,     -1,     -4,     -8
   263,           ,     -5,     -8,     -4
   264,           ,     -9,     -6,     -2
   265,           ,    -12,     -4,     -3
   266,           ,     -7,     -8,      1
   267,           ,     -6,    -10,      3
   268,           ,     -7,     -7,      9
   269,           ,     -7,     -3,      6
   270,           ,     -3,      0,      7
   271,           ,      5,     -4,      5
   272,           ,      7,     -3,      7
   273,           ,      6,      2,     15
   274,           ,     -1,      5,     10
   275,           ,      5,      7,      1
   276,           ,      9,      3,      6
   277,           ,     11,      4,      4
   278,           ,     13,      3,      1
   279,           ,      8,      9,      1
   280,           ,      3,     11,     -4
   281,           ,      3,      7,     -8
   282,           ,      6,      1,     -7
   283,           ,      0,      0,     -6
   284,           ,     -3,      1,     -6
   285,           ,     -5,      4,    -13
   286,           ,     -2,      0,    -12
   287,           ,     -4,     -2,     -7
   288,           ,     -8,     -8,     -5
   289,           ,    -12,     -6,     -4
   290,           ,    -11,      0,     -7
   291,           ,     -9,     -6,     -3
   292,           ,     -6,     -6,      0
   293,           ,     -6,     -8,      6
   294,           ,     -5,     -6,      2
   295,           ,     -8,      0,      3
   295,      0.553,     -2,     -3,      8
   296,           ,      6,     -6,      8
   297,           ,      2,     -3,     14
   298,           ,      5,      2,     11
   299,           ,      5,      2,      7
   300,           ,     10,      3,     10
   301,           ,      6,      1,      8
   302,           ,      7,      7,      6
   303,           ,      6,      5,      1
   304,           ,     10,      9,      0
   305,           ,      8,     12,     -6
   306,           ,      4,      3,     -5
   307,           ,      3,      4,     -7
   308,           ,     -1,      3,     -7
   309,           ,     -4,      6,     -8
   310,           ,     -2,     -4,    -17
   311,           ,     -5,      0,    -10
   312,           ,     -7,     -2,     -4
   313,           ,     -9,     -4,     -6
   314,           ,     -9,     -2,     -7
   315,           ,     -8,     -2,     -8
   316,           ,     -4,     -8,     -4
   317,           ,     -8,     -3,      3
   318,           ,    -12,     -8,      7
   319,           ,     -5,     -4,     13
   320,           ,     -5,     -1,      8
   321,           ,     -2,     -3,      8
   322,           ,      4,     -6,     12
   323,           ,      8,     -1,      9
   324,           ,      7,      4,      6
   325,           ,      8,      4,      5
   326,           ,     10,      1,     12
   327,           ,     12,      2,      8
   328,           ,     11,      6,      4
   329,           ,      6,      8,      4
   330,           ,     11,      7,     -1
   331,           ,      9,      5,     -4
   332,           ,     11,      7,     -5
   333,           ,      4,      6,     -8
   334,           ,     -2,      6,     -6
   335,           ,     -1,      3,     -9
   336,           ,      2,      3,     -8
   337,           ,     -4,     -4,     -6
   338,           ,    -12,     -3,     -5
   339,           ,     -7,     -4,    -11
   340,           ,     -2,     -4,     -6
   341,           ,     -9,     -4,     -3
   342,           ,     -8,     -7,      4
   343,           ,     -7,    -11,     -1
   344,           ,     -3,     -7,      5
   345,           ,      1,     -4,      9
   346,           ,     -3,     -3,     10
   347,           ,      2,     -3,     13
   348,           ,      8,     -3,     11
   349,           ,      2,      1,     10
   350,           ,      8,      6,      6
   351,           ,     10,      2,      8
   352,           ,      8,      7,     10
   353,           ,     14,      3,      9
   354,           ,      8,      9,      4
   355,           ,      9,      9,     -3
   356,           ,     12,      4,      3
   357,           ,     11,      5,     -4
   358,           ,      4,      7,    -10
   359,           ,      2,      4,    -10
   360,           ,      4,      2,     -5
   361,           ,      4,     -4,     -9
   362,           ,     -1,     -2,    -13
   363,           ,     -9,     -3,     -9
   364,           ,     -4,     -8,    -11
   365,           ,     -6,     -5,     -4
   366,           ,     -4,     -5,     -3
   367,           ,    -10,     -7,     -1
   368,           ,     -9,     -7,      1
   369,           ,    -14,     -3,      0
   370,           ,     -2,     -3,      8
   371,           ,      0,     -9,      9
   372,           ,     -1,     -5,     14
   373,           ,      0,      1,     16
   374,           ,      5,      5,     10
   375,           ,     14,      7,      9
   376,           ,      8,      3,     11
   377,           ,     10,      9,     10
   378,           ,      7,      2,      8
   379,           ,      8,      7,      9
   380,           ,      9,      3,      5
   381,           ,     14,      7,      3
   382,           ,     13,      6,     -3
   383,           ,      8,      4,     -4
   384,           ,      3,      7,     -9
   385,           ,      5,      3,    -10
   386,           ,      4,      2,    -11
   387,           ,      2,     -2,    -11
   388,           ,     -8,      0,    -10
   389,           ,     -8,     -4,     -7
   390,           ,     -3,     -8,    -10
   391,           ,     -3,     -9,     -4
   392,           ,     -6,     -6,     -3
   393,           ,    -12,     -9,      2
   394,           ,    -10,     -2,      2
   395,           ,     -6,     -7,      2
   396,           ,     -4,     -4,      7
   397,           ,     -2,     -4,      8
   398,           ,     -2,     -1,     14
   399,           ,     -1,      1,      8
   400,           ,      3,     -1,     10
   401,           ,      5,     -4,      9
   402,           ,      7,      1,     12
   403,           ,      5,      3,      9
   404,           ,      8,      8,      9
   405,           ,     14,      5,      1
   406,           ,      9,      8,      2
   407,           ,      9,      6,      5
   408,           ,      9,      4,     -4
   409,           ,      6,      8,     -4
   410,           ,      7,      4,     -8
   411,           ,      5,      2,    -10
   412,           ,      4,      0,     -6
   413,           ,     -4,     -1,    -13
   414,           ,     -5,      3,    -12
   415,           ,     -3,     -4,     -8
   416,           ,     -7,     -3,     -5
   417,           ,    -12,     -7,     -5
   418,           ,    -10,     -3,      0
   419,           ,     -9,      1,      1
   420,           ,     -9,     -3,      0
   421,           ,     -6,     -2,      4
   422,           ,     -5,     -6,     10
   423,           ,     -6,     -3,      8
   424,           ,     -4,      1,      7
   425,           ,      4,     -1,      7
   426,           ,      7,      1,      8
   427,           ,      7,     -1,     12
   428,           ,      2,      3,      8
   429,           ,      5,      6,      6
   430,           ,      9,      6,      3
   431,           ,      5,      2,      5
   432,           ,     15,      7,      1
   433,           ,      2,      7,     -2
   434,           ,      3,     10,     -4
   435,           ,      7,      4,     -6
   436,           ,      1,      5,     -6
   437,           ,      3,      1,     -4
   438,           ,     -5,      1,     -6
   439,           ,    -13,      4,    -10
   440,           ,     -9,     -5,    -11
   441,           ,     -4,     -3,    -11
   442,           ,     -5,     -2,     -7
   442,      0.600,    -13,     -2,     -8
   443,           ,    -12,     -5,     -7
   444,           ,    -11,     -8,    -15
   445,           ,    -11,    -10,     -3
   446,           ,     -5,     -9,     -2
   447,           ,     -9,     -5,     10
   448,           ,     -8,     -2,      6
   449,           ,      6,     -1,      3
   450,           ,      3,     -1,     10
   451,           ,      7,      1,      9
   452,           ,      2,     -3,     10
   453,           ,      2,      6,      6
   454,           ,      7,      6,      7
   455,           ,     11,      6,      6
   456,           ,     11,      8,      3
   457,           ,      7,      4,      5
   458,           ,      4,      6,     -2
   459,           ,     12,      8,     -3
   460,           ,      4,      1,     -4
   461,           ,      4,      1,     -8
   462,           ,      0,      4,     -7
   463,           ,     -5,      6,     -7
   464,           ,     -6,     -2,     -9
   465,           ,     -5,     -3,     -5
   466,           ,     -7,     -5,     -7
   467,           ,    -10,      2,     -7
   468,           ,    -11,     -1,     -7
   469,           ,     -2,     -8,     -5
   470,           ,     -6,    -10,      0
   471,           ,    -10,     -5,      1
   472,           ,     -9,     -6,      4
   473,           ,    -12,     -1,      6
   474,           ,     -5,     -6,      8
   475,           ,      2,     -3,      8
   476,           ,      5,      0,     13
   477,           ,      2,     -1,     16
   478,           ,      6,      1,     11
