server time    : 2020-10-27 12:27:52(1603769272)
delay time     : 2.829
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   391,           ,     -9,      2,     -5
   392,           ,    -10,     -1,     -3
   393,           ,     -7,      5,     -1
   394,           ,    -13,      0,      0
   395,           ,    -15,      1,     -3
   396,           ,     -5,     -5,      2
   397,           ,     -8,     -5,      0
   398,           ,     -7,      0,      0
   399,           ,     -5,      7,     -2
   400,           ,      0,     -5,     -1
   401,           ,      0,     -6,     -1
   402,           ,     -1,      2,      2
   403,           ,     -1,     -3,      0
   404,           ,      4,      2,     -1
   405,           ,      5,      3,     -3
   406,           ,      7,     -2,      2
   407,           ,      7,      0,      3
   408,           ,      4,      2,      2
   409,           ,      6,     -3,     -2
   410,           ,     10,     -6,     -5
   411,           ,     -1,     -1,      1
   412,           ,      5,     -3,      0
   413,           ,     -9,      2,     -2
   414,           ,     -4,      3,      3
   415,           ,     -9,      2,      3
   416,           ,     -4,      2,      4
   417,           ,     -9,     -1,      6
   418,           ,    -11,      0,      0
   419,           ,    -10,      5,      2
   420,           ,     -6,      5,      2
   421,           ,    -12,      4,     -2
   422,           ,     -7,      4,      8
   423,           ,     -6,      0,      6
   424,           ,    -13,      5,      4
   425,           ,     -4,      0,      5
   426,           ,     -2,      1,     -1
   427,           ,      0,      1,      4
   428,           ,     -4,      2,      1
   429,           ,     -2,      6,      5
   430,           ,      3,      2,      3
   431,           ,      2,      0,      0
   432,           ,     -1,      1,      2
   433,           ,     -2,      1,     -2
   434,           ,      0,      4,      1
   435,           ,      0,      4,     -2
   436,           ,      6,     -1,     -2
   437,           ,     -3,      0,      5
   438,           ,     -4,      4,      1
   439,           ,     -7,      3,      2
   440,           ,     -4,      2,     -1
   441,           ,      3,     -1,      5
   442,           ,     -1,      4,      4
   442,      0.600,     -2,     -1,      6
   443,           ,     -1,      0,      5
   444,           ,     -1,      1,      0
   445,           ,     -6,      2,      2
   446,           ,      2,     -3,      5
   447,           ,    -10,      3,      3
   448,           ,     -7,      3,      1
   449,           ,      0,     -2,      6
   450,           ,     -4,      0,      6
   451,           ,      2,      0,      7
   452,           ,     -5,     -3,      5
   453,           ,     -6,      5,      2
   454,           ,     -2,      4,      1
   455,           ,     -3,      4,      1
   456,           ,     -5,      0,      6
   457,           ,      0,      3,      3
   458,           ,      0,      4,      2
   459,           ,      8,      2,      3
   460,           ,      8,     -1,      4
   461,           ,      9,     -1,      5
   462,           ,      6,     -1,      2
   463,           ,      4,      5,      6
   464,           ,      6,     -6,      3
   465,           ,      5,      1,      5
   466,           ,      4,      0,      6
   467,           ,      2,     -3,      3
   468,           ,      3,     -1,      1
   469,           ,      3,     -8,      7
   470,           ,      3,     -6,      6
   471,           ,      0,     -8,      7
   472,           ,    -10,     -1,      5
   473,           ,    -14,     -6,      6
   474,           ,     -3,     -5,      5
   475,           ,     -1,     -9,      3
   476,           ,      2,      0,      4
   477,           ,     -1,     -6,      5
   478,           ,     -6,     -3,     10
   479,           ,     -6,    -11,      7
   480,           ,      3,     -2,      8
   481,           ,      4,    -11,      7
   482,           ,      7,     -3,      7
   483,           ,     10,     -2,      5
   484,           ,     15,     -5,      3
   485,           ,     21,     -6,      5
   486,           ,     12,     -5,      1
   487,           ,     12,      2,      0
   488,           ,      8,      4,      2
   489,           ,      8,      1,     -1
   490,           ,      9,      2,      3
   491,           ,      4,      2,      4
   492,           ,      8,      3,     -1
   493,           ,      4,      5,     -2
   494,           ,      5,      0,     -2
   495,           ,      5,      1,      0
   496,           ,      2,      0,      0
   497,           ,      0,      3,      2
   498,           ,     -4,      7,     -1
   499,           ,      0,      5,      1
   500,           ,     -3,     -3,     -2
   501,           ,     -2,      0,      4
   502,           ,     -3,     -1,      3
   503,           ,     -4,      4,     -1
   504,           ,      2,      0,      0
   505,           ,      2,     -8,     -1
   506,           ,      9,     -1,      4
   507,           ,      6,      0,      3
   508,           ,      7,      4,      2
   509,           ,     18,      2,      0
   510,           ,     14,      0,     -3
   511,           ,     14,      7,     -4
   512,           ,     12,      5,     -5
   513,           ,     11,     12,     -6
   514,           ,     11,      9,     -4
   515,           ,     11,      8,     -7
   516,           ,      9,     10,     -2
   517,           ,      4,      6,     -4
   518,           ,      5,      8,     -4
   519,           ,      3,      5,     -9
   520,           ,      6,      3,     -5
   521,           ,      7,      1,      4
   522,           ,     -3,     -1,     -3
   523,           ,     -9,      4,      0
   524,           ,     -3,     -7,     -4
   525,           ,     -1,     -6,     -3
   526,           ,     -5,     -3,     -1
   527,           ,     -2,     -9,      3
   528,           ,     -6,     -2,     -5
   529,           ,      6,     -5,     -3
   530,           ,      5,     -7,      1
   531,           ,      7,     -8,     -4
   532,           ,      3,     -5,      0
   533,           ,      5,      0,     -5
   534,           ,      9,     -2,     -6
   535,           ,     11,      0,     -6
   536,           ,      9,      2,     -3
   537,           ,     10,      6,     -6
   538,           ,      7,      8,     -9
   539,           ,      7,      3,     -9
   540,           ,      5,      8,     -7
   541,           ,     -2,      4,     -4
   542,           ,     -6,      9,     -4
   543,           ,     -2,      5,     -6
   544,           ,     -2,     -1,     -9
   545,           ,     -6,      1,     -4
   546,           ,     -7,     -5,     -3
