accelometer ODR: 3200 Hz
 Row #, X-AXIS, Y-AXIS, Z-AXIS
   481,      1,      2,     -4
   482,      3,     -1,      3
   483,      3,     -4,      2
   484,      3,     -3,      0
   485,     -1,      3,     -2
   486,      3,      1,     -5
   487,     -2,     -7,     -2
   488,      4,      0,      2
   489,     -1,     -1,      6
   490,      0,      5,     -2
   491,      4,      5,     -2
   492,      2,      1,      1
   493,      6,     -1,      6
   494,      0,      3,      2
   495,      3,      3,     -1
   496,      2,     -1,      2
   497,      4,      4,      2
   498,      3,     -1,      1
   499,      2,     -5,      0
   500,      3,      4,      3
   501,      3,      4,      2
   502,      4,     -5,      0
   503,     -3,     -4,      4
   504,     -1,     -3,      6
   505,     -1,      1,     -1
   506,      7,      5,     -2
   507,      7,     -3,     -3
   508,      3,      1,      0
   509,     -2,     -1,      1
   510,      1,     -1,      1
   511,      5,      4,      0
   512,      2,     -2,      1
   513,      3,      3,     -5
   514,     -2,      1,     -1
   515,      3,     -2,      2
   516,      2,     -1,     -2
   517,      2,      0,      5
   518,      6,      2,     -1
   519,     -2,     -1,      3
   520,     -3,      0,      1
   521,      2,     -1,     -1
   522,      3,      2,      2
   523,      3,      0,      3
   524,     -4,      1,      4
   525,      3,      2,      2
   526,      2,     -3,     -4
   527,      3,     -3,     -1
   528,      3,      3,      0
   529,     -2,     -1,      0
   530,     -2,      3,     -3
   531,      3,      3,     -2
   532,     -2,     -2,     -2
   533,      5,      2,      4
   534,     -2,      1,      2
   535,      5,      5,     -1
   536,      7,      0,      0
   537,      3,      1,      5
   538,     -1,      3,      4
   539,     -3,      2,      5
   540,     -2,      2,     -2
   541,      2,      4,     -6
   542,     -1,     -1,      0
   543,     -1,      3,      4
   544,     -4,      5,      0
   545,      3,      1,      3
   546,      4,      1,      1
   547,     -4,      3,      0
   548,      3,      1,      0
   549,     -4,      3,      0
   550,     -4,      1,      2
   551,     -1,      0,     -4
   552,      1,      0,     -2
   553,     -2,     -6,     -2
   554,     -4,      0,      6
   555,     -3,      2,     -7
   556,      1,     -2,     -2
   557,     -4,     -2,     -3
   558,     -3,      2,      4
   559,     -6,     -2,     -1
   560,     -1,     -1,      1
   561,      3,      0,      0
   562,     -1,     -4,      2
   563,     -1,      0,      4
   564,      3,      2,      2
   565,     -4,      1,      1
   566,     -1,      4,      1
   567,      6,     -3,      4
   568,      5,      0,      4
   569,      2,      0,      0
   570,     -1,      3,      0
   571,      5,      0,      2
   572,      4,      2,      2
   573,      3,      2,     -1
   574,     -4,     -3,      1
   575,     -6,      5,     -2
   576,      1,      2,     -5
   577,      2,      0,      5
   578,     -4,     -1,     -1
   579,     -8,      0,     -2
   580,     -1,      5,     -3
   581,     -1,     -1,     -2
   582,      1,      0,      2
   583,      2,     -1,      0
   584,     -2,      1,      0
   585,     -6,      1,      0
   586,      3,     -1,     -2
   587,      3,     -1,      0
   588,     -1,     -1,      0
   589,     -7,      5,     -2
   590,     -1,      2,     -2
   591,     -1,      2,      1
   592,      1,      1,     -5
   593,      0,      0,     -3
   594,      0,     -3,     -6
   595,      0,     -1,     -1
   596,     -2,     -1,      2
   597,     -1,     -3,     -1
   598,     -1,      3,     -1
   599,      1,     -2,     -5
   600,      4,     -4,      2
   601,     -4,     -2,      2
   602,     -8,      0,      2
   603,      1,     -3,     -7
   604,     -3,      2,     -5
   605,      7,      0,      0
   606,      1,     -2,      1
   607,      1,      4,      4
   608,     -3,      0,     -2
   609,      2,      6,     -2
   610,      7,     -1,      1
   611,      0,     -1,     -3
   612,     -4,      1,      3
   613,      0,      7,     -3
   614,      2,     -2,     -1
   615,      4,      0,     -3
   616,      0,      2,     -1
   617,     -2,     -1,     -4
   618,      2,      4,     -5
   619,     -3,     -1,     -5
   620,      2,     -2,      2
   621,     -2,     -4,      3
   622,      7,     -2,      3
   623,      4,      2,     -4
   624,      7,     -2,     -1
   625,      5,     -6,     -2
   626,     -1,      2,     -3
   627,     -3,     -1,      1
   628,     -1,      8,     -2
   629,      2,      0,     -1
   630,      3,      0,     -2
   631,      0,     -3,      5
   632,     -1,      1,      2
   633,      1,      6,     -6
   634,     -4,      1,     -3
   635,      5,     -1,      4
   636,      4,     -1,     -1
   637,     -5,      0,      2
   638,     -3,      2,      1
   639,      0,     -1,      1
   640,      3,     -2,      6
   641,     -1,     -2,     -3
   642,      2,     -2,      3
   643,     -3,      4,      2
   644,     -3,      4,     -1
   645,      4,      2,      3
   646,      1,      2,      1
   647,     -6,      4,      3
   648,     -1,      2,     -6
   649,      1,     -1,     -1
   650,      4,      0,     -3
   651,     -1,     -2,      3
   652,     -1,      2,     -1
   653,     -3,      6,     -3
   654,     -2,     -6,      3
   655,      2,     -2,      4
   656,     -1,     -1,     -1
   657,      4,      2,      7
   658,      3,      1,     -2
   659,     -1,      2,     -4
   660,      1,     -1,      4
   661,      0,      3,      7
   662,     -2,      5,      4
   663,     -3,      5,     -7
   664,     -1,     -1,     -4
   665,      1,      1,      2
   666,      0,     -2,      5
   667,     -5,      3,     -1
   668,     -1,      2,     -3
   669,      2,     -2,     -1
   670,      7,      3,      3
   671,      5,      3,      2
   672,     -4,      4,      5
   673,     -2,      1,     -4
   674,     -1,      1,     -2
   675,      1,      3,      3
   676,     -1,     -2,      2
   677,     -3,      1,     -3
   678,      2,     -1,     -3
   679,     -1,      0,      3
   680,      3,      4,      5
   681,      0,      0,      2
   682,     -4,      0,     -1
   683,      2,      2,     -3
   684,      4,      2,     -1
   685,      2,      2,      2
   686,      1,     -1,     -1
   687,      3,      1,      3
   688,     -1,      4,     -8
   689,      1,      2,     -4
   690,      2,      0,      4
   691,     -3,     -4,      4
   692,     -2,     -1,     -3
   693,     -3,      0,     -9
   694,      2,     -2,     -3
   695,      2,     -2,      1
   696,     -4,     -1,      1
   697,     -3,      3,      1
   698,     -3,      4,     -6
   699,      4,     -2,     -1
   700,      4,     -2,      3
   701,      3,      1,     -2
   702,      1,      0,     -3
   703,     -3,      3,     -6
   704,     -5,     -2,     -8
   705,      0,     -1,     -1
   706,     -3,      1,     -5
   707,     -3,     -4,     -3
   708,     -2,      3,      1
   709,     -2,     -4,     -3
   710,      0,     -3,      3
   711,     -1,      0,     -1
   712,      1,      0,     -2
   713,     -2,      5,     -3
   714,      3,      0,     -6
   715,      5,      0,     -1
   716,      1,     -5,      3
   717,      2,      0,     -1
   718,      1,      1,      3
   719,      4,     -1,     -1
   720,      1,      2,     -2
   721,      0,      1,      3
   722,      1,      1,      1
   723,      2,      3,     -6
   724,      1,      1,     -4
   725,      0,      1,      3
   726,      4,      1,      1
   727,     -1,     -2,     -1
   728,      3,      4,     -3
   729,      0,     -1,     -2
   730,      2,     -1,     -2
   731,     -2,      1,     -1
   732,     -1,     -2,     -1
   733,      1,      5,     -4
   734,      1,     -1,     -2
   735,      3,     -1,     -2
   736,      3,     -6,     -1
   737,     -1,      4,      0
